<Date>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019-08-16 10:34:00,1277.2,1277.5,1277,1277.05,9917
2019-08-16 10:35:00,1277.05,1278,1277,1277.85,13577
2019-08-16 10:36:00,1278,1278.05,1277.5,1277.75,11823
2019-08-16 10:37:00,1277.9,1278.45,1277.75,1278.15,15597
2019-08-16 10:38:00,1278.35,1278.35,1276,1277.2,53158
2019-08-16 10:39:00,1276.75,1276.75,1275.65,1275.8,33670
2019-08-16 10:40:00,1276,1277.5,1275.8,1277,17127
2019-08-16 10:41:00,1277.35,1277.35,1276.4,1276.4,14136
2019-08-16 10:42:00,1276.15,1277.25,1276,1276.7,7494
2019-08-16 10:43:00,1276.95,1277,1276.25,1276.4,12862
2019-08-16 10:44:00,1276.3,1277,1276.3,1276.95,11872
2019-08-16 10:45:00,1276.65,1277.9,1276.65,1277.8,19450
2019-08-16 10:46:00,1277.8,1278,1277.55,1277.8,15639
2019-08-16 10:47:00,1277.75,1279.2,1277.65,1279.15,16802
2019-08-16 10:48:00,1279.15,1279.25,1278.75,1278.8,8764
2019-08-16 10:49:00,1278.7,1281,1277.85,1280.6,32738
2019-08-16 10:50:00,1280.5,1282.8,1280.5,1281.5,47524
2019-08-16 10:51:00,1281.5,1282,1281.15,1281.35,13768
2019-08-16 10:52:00,1281.35,1281.4,1280.2,1280.45,14951
2019-08-16 10:53:00,1280.6,1280.6,1278.9,1278.9,17525
2019-08-16 10:54:00,1279,1279.25,1278.55,1279.1,11819
2019-08-16 10:55:00,1279.1,1280,1279.05,1280,15861
2019-08-16 10:56:00,1280,1280.2,1279.35,1279.95,13135
2019-08-16 10:57:00,1280.1,1280.6,1280,1280.6,8602
2019-08-16 10:58:00,1280.55,1280.7,1279.75,1280.7,12091
2019-08-16 10:59:00,1280.7,1280.75,1279.9,1280,12599
2019-08-16 11:00:00,1280,1280.3,1279.65,1280.1,71060
2019-08-16 11:01:00,1280.1,1280.3,1279.7,1280.2,125504
2019-08-16 11:02:00,1280.2,1281.85,1280.2,1281.85,17281
2019-08-16 11:03:00,1281.95,1282,1280.9,1281.25,19398
2019-08-16 11:04:00,1281.25,1281.55,1280.2,1280.2,6869
2019-08-16 11:05:00,1280.5,1281,1280.4,1280.7,8315
2019-08-16 11:06:00,1280.7,1281,1279.45,1279.5,14532
2019-08-16 11:07:00,1279.4,1279.45,1278.85,1278.85,11645
2019-08-16 11:08:00,1278.8,1279.9,1278.35,1279.45,16897
2019-08-16 11:09:00,1279.45,1279.9,1279.45,1279.85,7946
2019-08-16 11:10:00,1279.9,1279.9,1279.55,1279.85,7338
2019-08-16 11:11:00,1279.65,1281,1279.65,1280.9,12766
2019-08-16 11:12:00,1280.9,1280.9,1280.45,1280.6,5424
2019-08-16 11:13:00,1280.6,1282,1280.5,1281.8,23950
2019-08-16 11:14:00,1281.85,1281.85,1281.3,1281.5,8266
2019-08-16 11:15:00,1281.45,1282.75,1281.4,1281.75,22691
2019-08-16 11:16:00,1282,1283.4,1281.65,1283.4,32763
2019-08-16 11:17:00,1283.45,1284.15,1282,1282.45,26329
2019-08-16 11:18:00,1282.2,1282.5,1281.65,1282,14171
2019-08-16 11:19:00,1281.5,1281.9,1280.55,1281,7840
2019-08-16 11:20:00,1281.05,1281.05,1280,1280.2,13517
2019-08-16 11:21:00,1280.4,1281.3,1280.2,1280.35,10490
2019-08-16 11:22:00,1280.5,1280.9,1280.2,1280.35,6027
2019-08-16 11:23:00,1280.2,1280.45,1279.55,1280.25,27139
2019-08-16 11:24:00,1280,1281.15,1280,1281.1,9048
2019-08-16 11:25:00,1281.1,1281.15,1280.6,1280.6,11384
2019-08-16 11:26:00,1280.6,1280.75,1280.05,1280.05,5418
2019-08-16 11:27:00,1280.15,1280.2,1279.6,1279.6,19160
2019-08-16 11:28:00,1279.85,1280.05,1279.6,1280.05,12193
2019-08-16 11:29:00,1280.1,1282.5,1280.1,1282,34892
2019-08-16 11:30:00,1281.9,1281.9,1280.4,1280.7,15377
2019-08-16 11:31:00,1280.4,1283.85,1280.4,1282.5,38448
2019-08-16 11:32:00,1282.5,1282.65,1281.5,1281.5,13103
2019-08-16 11:33:00,1281.5,1282.25,1281.5,1282.25,22578
2019-08-16 11:34:00,1281.85,1282.3,1281.85,1282.25,10784
2019-08-16 11:35:00,1282.15,1282.2,1281.5,1281.55,4976
2019-08-16 11:36:00,1281.5,1282,1281.5,1281.55,16634
